# Inkling canonical manifest — step 4 of proj-2026-07-15-1700
# Initial full-run dir: runs/inkling-sweep-20260716-025854  |  0 infra failures → all 25/config are canonical (no reruns, no separate attempt dirs)
config	round	json_path	success	terminal_reason	turns_executed	empty_response_count	rate_limit_count
inkling-low	r01	runs/inkling-sweep-20260716-025854/inkling-low/inkling-low-r01.json	True	finished_tool	30	0	0
inkling-low	r02	runs/inkling-sweep-20260716-025854/inkling-low/inkling-low-r02.json	True	finished_tool	30	0	0
inkling-low	r03	runs/inkling-sweep-20260716-025854/inkling-low/inkling-low-r03.json	True	finished_tool	28	0	0
inkling-low	r04	runs/inkling-sweep-20260716-025854/inkling-low/inkling-low-r04.json	True	finished_tool	31	0	0
inkling-low	r05	runs/inkling-sweep-20260716-025854/inkling-low/inkling-low-r05.json	True	finished_tool	30	0	0
inkling-low	r06	runs/inkling-sweep-20260716-025854/inkling-low/inkling-low-r06.json	True	finished_tool	30	0	0
inkling-low	r07	runs/inkling-sweep-20260716-025854/inkling-low/inkling-low-r07.json	True	finished_tool	27	0	0
inkling-low	r08	runs/inkling-sweep-20260716-025854/inkling-low/inkling-low-r08.json	True	finished_tool	29	0	0
inkling-low	r09	runs/inkling-sweep-20260716-025854/inkling-low/inkling-low-r09.json	True	finished_tool	30	0	0
inkling-low	r10	runs/inkling-sweep-20260716-025854/inkling-low/inkling-low-r10.json	True	finished_tool	30	0	0
inkling-low	r11	runs/inkling-sweep-20260716-025854/inkling-low/inkling-low-r11.json	True	finished_tool	29	0	0
inkling-low	r12	runs/inkling-sweep-20260716-025854/inkling-low/inkling-low-r12.json	True	finished_tool	31	0	0
inkling-low	r13	runs/inkling-sweep-20260716-025854/inkling-low/inkling-low-r13.json	True	finished_tool	31	0	0
inkling-low	r14	runs/inkling-sweep-20260716-025854/inkling-low/inkling-low-r14.json	True	finished_tool	30	0	0
inkling-low	r15	runs/inkling-sweep-20260716-025854/inkling-low/inkling-low-r15.json	True	finished_tool	31	0	0
inkling-low	r16	runs/inkling-sweep-20260716-025854/inkling-low/inkling-low-r16.json	True	finished_tool	29	0	0
inkling-low	r17	runs/inkling-sweep-20260716-025854/inkling-low/inkling-low-r17.json	True	finished_tool	31	0	0
inkling-low	r18	runs/inkling-sweep-20260716-025854/inkling-low/inkling-low-r18.json	True	finished_tool	29	0	0
inkling-low	r19	runs/inkling-sweep-20260716-025854/inkling-low/inkling-low-r19.json	True	finished_tool	29	0	0
inkling-low	r20	runs/inkling-sweep-20260716-025854/inkling-low/inkling-low-r20.json	True	finished_tool	27	0	0
inkling-low	r21	runs/inkling-sweep-20260716-025854/inkling-low/inkling-low-r21.json	True	finished_tool	29	0	0
inkling-low	r22	runs/inkling-sweep-20260716-025854/inkling-low/inkling-low-r22.json	True	finished_tool	29	0	0
inkling-low	r23	runs/inkling-sweep-20260716-025854/inkling-low/inkling-low-r23.json	True	finished_tool	27	0	0
inkling-low	r24	runs/inkling-sweep-20260716-025854/inkling-low/inkling-low-r24.json	True	finished_tool	31	0	0
inkling-low	r25	runs/inkling-sweep-20260716-025854/inkling-low/inkling-low-r25.json	True	finished_tool	26	0	0
inkling-high	r01	runs/inkling-sweep-20260716-025854/inkling-high/inkling-high-r01.json	True	finished_tool	33	0	0
inkling-high	r02	runs/inkling-sweep-20260716-025854/inkling-high/inkling-high-r02.json	True	finished_tool	29	0	0
inkling-high	r03	runs/inkling-sweep-20260716-025854/inkling-high/inkling-high-r03.json	True	finished_tool	31	0	0
inkling-high	r04	runs/inkling-sweep-20260716-025854/inkling-high/inkling-high-r04.json	True	finished_tool	33	0	0
inkling-high	r05	runs/inkling-sweep-20260716-025854/inkling-high/inkling-high-r05.json	True	finished_tool	31	0	0
inkling-high	r06	runs/inkling-sweep-20260716-025854/inkling-high/inkling-high-r06.json	True	finished_tool	29	0	0
inkling-high	r07	runs/inkling-sweep-20260716-025854/inkling-high/inkling-high-r07.json	True	finished_tool	30	0	0
inkling-high	r08	runs/inkling-sweep-20260716-025854/inkling-high/inkling-high-r08.json	True	finished_tool	27	0	0
inkling-high	r09	runs/inkling-sweep-20260716-025854/inkling-high/inkling-high-r09.json	True	finished_tool	41	0	0
inkling-high	r10	runs/inkling-sweep-20260716-025854/inkling-high/inkling-high-r10.json	True	finished_tool	31	0	0
