slot	pair	setting
1	1	none
2	1	high
3	2	high
4	2	none
5	3	none
6	3	high
7	4	high
8	4	none
9	5	none
10	5	high
11	6	high
12	6	none
13	7	none
14	7	high
15	8	high
16	8	none
17	9	none
18	9	high
19	10	high
20	10	none
21	11	none
22	11	high
23	12	high
24	12	none
25	13	none
26	13	high
27	14	high
28	14	none
29	15	none
30	15	high
31	16	high
32	16	none
33	17	none
34	17	high
35	18	high
36	18	none
37	19	none
38	19	high
39	20	high
40	20	none
41	21	none
42	21	high
43	22	high
44	22	none
45	23	none
46	23	high
47	24	high
48	24	none
49	25	none
50	25	high
